"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31645","3. Edit and verify reduced number of values on Person View page - Business Name","","Sat May 31 21:31:00 UTC 2025","passed","Sat May 31 21:31:32 UTC 2025","","Edit Person","",""
"","88880","2. Verify Transfer transaction and enabled/disabled actions for Checked Out item","","Sat May 31 21:37:06 UTC 2025","failed","Sat May 31 21:38:35 UTC 2025","","Item Transactions & Actions","",""
"","24086","5. Case Number Formatting at Office level -- old case that was saved without formatting can be edited without changing Case Number or changing it with proper format","","Sat May 31 21:22:11 UTC 2025","passed","Sat May 31 21:22:35 UTC 2025","","Edit Case","",""
"","77906","1. Edit and verify all values on Item View page -- replace the current values in multiselect fields - Tags & Item Belongs To","","Sat May 31 21:25:05 UTC 2025","passed","Sat May 31 21:26:23 UTC 2025","","Edit Item","",""
"","70326","2.1 Add User to a Group, then add to another Group --> Verify that previous User Group is not overwritten","","Sat May 31 21:33:16 UTC 2025","passed","Sat May 31 21:34:26 UTC 2025","","Edit User","",""
"","131","An uncaught error was detected outside of a test","","Sat May 31 21:16:17 UTC 2025","failed","Sat May 31 21:16:17 UTC 2025","","","",""
"","3","A.D.4.2 Verify ""Re-Distribute"" for ""Upcoming"" cases","Auto-Disposition","Sat May 31 21:18:10 UTC 2025","skipped","Sat May 31 21:18:10 UTC 2025","","3. Verify ""Re-Distribute Case Review Dates"" functionality","",""
"","194363","4. Verify Dispose transaction and enabled/disabled actions for Disposed item","","Sat May 31 21:41:28 UTC 2025","failed","Sat May 31 21:44:42 UTC 2025","","Item Transactions & Actions","",""
"","17941","4. Add a Person with disabled fields & check if those are shown up on Person Edit page after enabling all of the rest of the fields and editing Business Name / First Name / Last Name","","Sat May 31 21:31:32 UTC 2025","passed","Sat May 31 21:31:50 UTC 2025","","Edit Person","",""
"","272778","5. Verify Undispose transaction and enabled/disabled actions for Checked In item","","Sat May 31 21:44:42 UTC 2025","failed","Sat May 31 21:49:15 UTC 2025","","Item Transactions & Actions","",""
"","9269","1 Verify auto-dispo can be enabled and disabled in Org Settings","","Sat May 31 21:15:14 UTC 2025","passed","Sat May 31 21:15:24 UTC 2025","","Auto-Disposition","",""
"","16377","1. Edit and verify all values on Person View page","","Sat May 31 21:30:14 UTC 2025","failed","Sat May 31 21:30:30 UTC 2025","","Edit Person","",""
"","6424","2. Verify Save button is disabled when missing value in any ""Follow Up Days"" field","","Sat May 31 21:15:24 UTC 2025","passed","Sat May 31 21:15:30 UTC 2025","","Auto-Disposition","",""
"","59061","1. Edit and verify all values on Case View page -- replace the current values in multiselect fields (Case Officers, Tags)","","Sat May 31 21:19:01 UTC 2025","passed","Sat May 31 21:20:00 UTC 2025","","Edit Case","",""
"","28307","2. Edit and verify reduced number of values on Person View page - First & Last Name","","Sat May 31 21:30:30 UTC 2025","passed","Sat May 31 21:30:59 UTC 2025","","Edit Person","",""
"","46937","3. Edit and verify reduced number of values on Case View page -- enter User Group instead of User as Case Officer","","Sat May 31 21:21:00 UTC 2025","passed","Sat May 31 21:21:47 UTC 2025","","Edit Case","",""
"","79020","2. Edit and verify all values on Item View page -- keep the previous values in multiselect fields  - Tags & Item Belongs To; 2.1. hitting *enter* button does not wipe out Additional Barcode","","Sat May 31 21:26:25 UTC 2025","passed","Sat May 31 21:27:44 UTC 2025","","Edit Item","",""
"","121239","1. Verify Check Out transaction and enabled/disabled actions for Checked Out item","","Sat May 31 21:35:05 UTC 2025","failed","Sat May 31 21:37:06 UTC 2025","","Item Transactions & Actions","",""
"","40462","7. Remove all optional values & check history records","","Sat May 31 21:22:57 UTC 2025","passed","Sat May 31 21:23:38 UTC 2025","","Edit Case","",""
"","62612","1 Edit newly added user, change all values, verify on the grid, and check all/active/inactive filters","","Sat May 31 21:32:13 UTC 2025","passed","Sat May 31 21:33:16 UTC 2025","","Edit User","",""
"","44886","3. Remove all optional values & check history records","","Sat May 31 21:27:44 UTC 2025","passed","Sat May 31 21:28:29 UTC 2025","","Edit Item","",""
"","55781","2. Edit and verify all values on Case View page -- keep the previous values and add new ones in multiselect fields (Case Officers, Tags)","","Sat May 31 21:20:02 UTC 2025","passed","Sat May 31 21:20:58 UTC 2025","","Edit Case","",""
"","21370","3.2 Verify ""Close X Cases"" functionality","","Sat May 31 21:15:30 UTC 2025","passed","Sat May 31 21:15:51 UTC 2025","","Auto-Disposition","",""
"","20169","8. Add a Case with disabled fields & check if required fields are displayed properly on Case Edit page after enabling","","Sat May 31 21:23:38 UTC 2025","passed","Sat May 31 21:23:58 UTC 2025","","Edit Case","",""
"","20228","5. Add an Item with disabled non required / required fields & check if those are shown up on Item Edit page after enabling","","Sat May 31 21:29:01 UTC 2025","passed","Sat May 31 21:29:21 UTC 2025","","Edit Item","",""
"","67642","3.1 Verify ""Re-Distribute"" for ""Past Due"" cases","Auto-Disposition","Sat May 31 21:17:02 UTC 2025","passed","Sat May 31 21:18:09 UTC 2025","","3. Verify ""Re-Distribute Case Review Dates"" functionality","",""
"","29354","4. Edit and verify reduced number of values on Item View page ","","Sat May 31 21:28:31 UTC 2025","passed","Sat May 31 21:29:00 UTC 2025","","Edit Item","",""
"","172695","3. Verify Check Item In transaction and enabled/disabled actions for Checked In item","","Sat May 31 21:38:35 UTC 2025","failed","Sat May 31 21:41:28 UTC 2025","","Item Transactions & Actions","",""
"","23169","4.  Case Number Formatting at Org level -- old case that was saved without formatting can be edited without changing Case Number or changing it with proper format","","Sat May 31 21:21:48 UTC 2025","passed","Sat May 31 21:22:11 UTC 2025","","Edit Case","",""
"","22089","6. Auto-Assigned Case Number -- Case Number can be edited when Auto-assigning of Case Numbers is enabled for new cases","","Sat May 31 21:22:35 UTC 2025","passed","Sat May 31 21:22:57 UTC 2025","","Edit Case","",""
"","49344","3.4 Verify ""View X Cases"" functionality","","Sat May 31 21:16:09 UTC 2025","passed","Sat May 31 21:16:58 UTC 2025","","Auto-Disposition","",""
"","17162","3.3 Verify ""Recalculate Cases to Dispose"" functionality","","Sat May 31 21:15:52 UTC 2025","passed","Sat May 31 21:16:09 UTC 2025","","Auto-Disposition","",""
